speech_turn,use_of_force_level
Durango going eastbound towards Wyoming Ma'am.,1
all the guy in the red come this way too hey you in the red come this way Ma'am.,1
"Hey, hey i found the gun all right",1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick,1
"Look, what's your name?",1
"we'll adjust your hands for you okay, do you understand?",1
Like Schizophrenia and PTSD. Please.,1
"Where's your ID?, do you understand?",1
"What's up brother. Hey, how we doing? Ma'am.",1
What are you doing on your phone?,1
you uh got the keys by chance we'll just put on top the car Now.,1
Durango going eastbound towards Wyoming Now.,1
"What's your medical condition man, do you understand?",1
"I'm telling you, we go we're going to throw them in a car just so we don't have to stand out here in the open",1
"Officer, okay i'm going to run him through fields",1
Oh don't worry about it man. Lets get that ID. Now.,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick Sir.,1
"Just lean back, do you understand?",1
"I'm telling you, we go we're going to throw them in a car just so we don't have to stand out here in the open",1
Albuquerque Police wake up man you all right Sir.,1
"Just lean back, do you understand?",1
"I'm telling you, all right well the address came out right here okay so we just have to make sure ",1
"Look, all right man well you be safe okay",1
What I want you to do is turn the vehicle off and step out for me,1
Is there anything on you that you shouldn't have? Ma'am.,1
if you shut it off real quick Now.,1
"I'm telling you, hey hey get up get up get up get up go",1
"Look, where you living at?",1
"Hey, you doing what now?",1
"Hey, we'll adjust your hands for you okay",1
Can you just open this up a little more? Sir.,1
"What are you doing on your phone?, do you understand?",1
right man we're going to go get you in a car where it's a little bit safer okay,1
Yes sir it is. And I have a GPS while I'm out on bond. Please.,1
was out of the driver's side though that shot came from the back of the car Ma'am.,1
"Officer, ok so car's registered to you cool",1
"I'm telling you, the whole car reeks of weed",1
What's going on today? Please.,1
"I'm telling you, whats your name.",1
"Where you living at?, do you understand?",1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there,1
We're getting confirmation on that now ok? Now.,1
"Durango going eastbound towards Wyoming, do you understand?",1
all right well the address came out right here okay so we just have to make sure  Please.,1
do you guys have IDs on you  Please.,1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there Sir.,1
all right man well you be safe okay Please.,1
"I'm telling you, you got any weapons on you brother? ",1
no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned Ma'am.,1
"Officer, all right well the address came out right here okay so we just have to make sure ",1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Now.,1
"Hey, what's up brother. hey, how we doing?",1
"I'm telling you, what happened today sir?",1
"Hey, what are you doing on your phone?",1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Now.,1
"Look, do me a favor just pull up a little further",1
"Officer, hey hey get up get up get up get up go",1
we got dispatched to shots fired going off right here Sir.,1
What are you doing on your phone? Sir.,1
"Officer, do me a favor just pull up a little further",1
Is there anything on you that you shouldn't have? Ma'am.,1
if you shut it off real quick Please.,1
"Officer, okay what was your reason for coming in here",1
I was gonna go get a hotel. Please.,1
You have a warrant for your arrest!,1
"Hey, stillwater police. charlene?",1
"Look, you doing what now?",1
So what happened today? Please.,1
you guys are good to go thank you Please.,1
"Look, okay i'm going to run him through fields",1
"I'm telling you, have you ever had contact with police before",1
Nobodys gonna go to jail I promise you that,1
you uh got the keys by chance we'll just put on top the car Now.,1
"do you have your license on you boss, do you understand?",1
 yeah I'm good stay with him Now.,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that Please.",1
"Look, no we were just trying to get home honestly like the car in front of us i felt like they were getting kind of close but i understand why you you know why you were concerned",1
This may be the vehicle they're looking for Please.,1
"I'm telling you, ok. do you have a doctor here? that you see?",1
"Look, do you have a mental condition?",1
we'll adjust your hands for you okay Now.,1
that's why I just like pulled over Now.,1
Nothing. Can you come over here please? Please.,1
"Hey, you guys are good to go thank you",1
What's your name?,1
is there any else inside Please.,1
okay sit down Please.,1
"I'm telling you, do you know what your original charge was",1
you know why why I hear gunshots all the time  Sir.,1
okay sit down Now.,1
"Hey, you guys are good to go thank you",1
"Hey, do me a favor just pull up a little further",1
"Hey, so what happened today?",1
you hear any gunshots Sir.,1
"I'm telling you, albuquerque police wake up man you all right",1
"Albuquerque Police wake up man you all right, do you understand?",1
no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned Please.,1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired Sir.,1
"Officer, 10-4 making that call now",1
is there any else inside Now.,1
"Officer, no we were just trying to get home honestly like the car in front of us i felt like they were getting kind of close but i understand why you you know why you were concerned",1
"Look, i got all his info right here",1
"I'm telling you,  i didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us",1
all right why don't you guys hang out here,1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Now.,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick Please.,1
"I'm telling you, we're getting confirmation on that now ok?",1
"Ok, is that an ankle monitor?",1
"if you shut it off real quick, do you understand?",1
"Hey, what's going on today?",1
"Look, do you have registration for the vehicle",1
if you shut it off real quick Ma'am.,1
hey hey get up get up get up get up go Ma'am.,1
please go ahead and put keys on the hood,1
"Can you come in my kitchen please. Can you close my door please, I have cats. Can you close my door please. Close it tight. Now.",1
"Ok, is that an ankle monitor? Now.",1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired,1
I just heard it was for a shooting,1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Sir.,1
please go ahead and put keys on the hood Ma'am.,1
What you doin Now.,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that Now.",1
we go we're going to throw them in a car just so we don't have to stand out here in the open Now.,1
It matches the description perfectly Please.,1
Do you have a mental condition? Please.,1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there,1
 I didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us Ma'am.,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that Please.",1
that go okay probably going have to go to jail for it  Please.,1
You have a warrant for your arrest. Now.,1
"Hey, i got what might be that silver lexus they were looking for",1
"Officer, that go okay probably going have to go to jail for it ",1
"I got all his info right here, do you understand?",1
"Officer, appreciate you man i'm glad you're okay",1
that's why I just like pulled over Please.,1
"Officer, i'm not going to lie there's a 9mm in the car",1
"I'm telling you, alright. you got your driver's license on you buddy? where you headed?",1
"Hey, your work knife",1
do you have your license on you boss Sir.,1
do you guys have IDs on you ,1
Like Schizophrenia and PTSD!,1
"The whole car reeks of weed, do you understand?",1
"Hey, just lean back",1
You got any weapons on you brother?  Now.,1
all right why don't you guys hang out here Please.,1
"Hey, okay what was your reason for coming in here",1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Sir.,1
"Hey, do me a favor just pull up a little further",1
"Officer, hey i found the gun all right",1
have you ever had contact with police before Sir.,1
is there any else inside Ma'am.,1
"I'm telling you, do you have a mental condition?",1
"Look, nothing. can you come over here please?",1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there Sir.,1
Albuquerque Police wake up man you all right,1
"Hey, do me a favor just open these up real quick so i can see back there",1
Durango going eastbound towards Wyoming Please.,1
"do you guys have IDs on you , do you understand?",1
"Look, you know why why i hear gunshots all the time ",1
I didn't hear nothing Now.,1
"I'm telling you, is this your truck?",1
Durango going eastbound towards Wyoming Sir.,1
Hold on we got somebody you need to talk to,1
It matches the description perfectly,1
right man we're going to go get you in a car where it's a little bit safer okay,1
I got what might be that silver lexus they were looking for Now.,1
What you doin Sir.,1
What's going on whats the problem Please.,1
"It matches the description perfectly, do you understand?",1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that Now.",1
"Hey, that go okay probably going have to go to jail for it ",1
"Look, was out of the driver's side though that shot came from the back of the car",1
"Officer, right man we're going to go get you in a car where it's a little bit safer okay",1
you hear any gunshots Sir.,1
"Officer, all right man well you be safe okay",1
"Hey, you got any weapons on you brother? ",1
Do you have a mental condition? Ma'am.,1
"Look, like schizophrenia and ptsd.",1
"I'm telling you, the reason why i stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick",1
"Look, follow your buddies do me a favor guys just put what you guys got down i just want to see empty hands okay we're dispatched to a call shotter or shots fired",1
 I didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us Ma'am.,1
Is there anything on you that you shouldn't have? Ma'am.,1
Hold on we got somebody you need to talk to Ma'am.,1
"I just heard it was for a shooting, do you understand?",1
"Hey, what's going on whats the problem",1
Just lean back Now.,1
What's your name?,1
Where's your ID? Ma'am.,1
we'll adjust your hands for you okay Ma'am.,1
I didn't hear nothing Sir.,1
I was gonna go get a hotel!,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that Ma'am.",1
"I'm telling you, follow your buddies do me a favor guys just put what you guys got down i just want to see empty hands okay we're dispatched to a call shotter or shots fired",1
But the rest is I have the right to remain silent. Please.,1
"Hey, can you just open this up a little more?",1
You got an ID on you? Now.,1
"Look, 10-4 making that call now",1
Nothing. Can you come over here please? Now.,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick Ma'am.,1
"Look, i just heard it was for a shooting",1
hey I found the gun all right Ma'am.,1
"Officer, is this your truck?",1
"Officer, do you have registration for the vehicle",1
Hold on we got somebody you need to talk to Sir.,1
"Officer, you know why why i hear gunshots all the time ",1
"I'm telling you, appreciate you man i'm glad you're okay",1
"Officer, but the rest is i have the right to remain silent.",1
"Ok, is that an ankle monitor?, do you understand?",1
please go ahead and put keys on the hood Sir.,1
you guys are good to go thank you Sir.,1
all right well the address came out right here okay so we just have to make sure  Ma'am.,1
appreciate you man I'm glad you're okay Now.,1
"I'm telling you, what's going on today?",1
He's Cooperative Sir.,1
Ok so car's registered to you cool Now.,1
"I'm telling you, i'm not going to lie there's a 9mm in the car",1
Do me a favor just pull up a little further Now.,1
"Officer, what's going on whats the problem",1
"Nobodys gonna go to jail I promise you that, do you understand?",1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there Please.,1
"Officer, is there anything on you that you shouldn't have?",1
"Officer, please go ahead and put keys on the hood",1
Albuquerque Police wake up man you all right Now.,1
no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned Ma'am.,1
"Officer, albuquerque police wake up man you all right",1
"Do me a favor open these windows up real quick, do you understand?",1
"Hey, the reason why i stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick",1
What are you doing on your phone?,1
Do me a favor just open these up real quick so I can see back there,1
"Look, hey hey get up get up get up get up go",1
Stillwater Police. Charlene? Ma'am.,1
have you ever had contact with police before Now.,1
was out of the driver's side though that shot came from the back of the car Ma'am.,1
"Can you come in my kitchen please. Can you close my door please, I have cats. Can you close my door please. Close it tight. Please.",1
"I'm telling you, you doing what now?",1
"Stillwater Police. Charlene?, do you understand?",1
Durango going eastbound towards Wyoming Please.,1
I didn't hear nothing,1
inside yes my work knife,1
"Look, please go ahead and put keys on the hood",1
"Hey, but the rest is i have the right to remain silent.",1
I got all his info right here Sir.,1
"Officer, hang tight in the vehicle man",1
"Look, just lean back",1
It matches the description perfectly Sir.,1
 yeah I'm good stay with him Ma'am.,1
Do you have a mental condition? Sir.,1
Can you just open this up a little more? Ma'am.,1
"Look, do you have registration for the vehicle",1
"I'm telling you, all right why don't you guys hang out here",1
do you have an ID in New Mexico  Sir.,1
"Officer, hey what's up man been through this once or twice huh?",1
Durango going eastbound towards Wyoming Sir.,1
we'll adjust your hands for you okay Sir.,1
hey I found the gun all right Ma'am.,1
This may be the vehicle they're looking for Please.,1
Nothing! Can you come over here please?,1
"Do me a favor just pull up a little further, do you understand?",1
So what happened today? Now.,1
So what happened today? Sir.,1
"I'm telling you, do you guys have ids on you ",1
"It matches the description perfectly, do you understand?",1
"I'm telling you, follow your buddies do me a favor guys just put what you guys got down i just want to see empty hands okay we're dispatched to a call shotter or shots fired",1
Nobodys gonna go to jail I promise you that Now.,1
Just lean back Ma'am.,1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Sir.,1
You got an ID on you? Sir.,1
"I'm telling you, durango going eastbound towards wyoming",1
"What are you doing on your phone?, do you understand?",1
is there any else inside Sir.,1
I got all his info right here Ma'am.,1
"I'm telling you, just lean back",1
"I'm telling you, he's cooperative",1
Let me get that Now.,1
please go ahead and put keys on the hood Please.,1
Do you have registration for the vehicle Ma'am.,1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired Please.,1
"Look, we got dispatched to shots fired going off right here",1
"The whole car reeks of weed, do you understand?",1
Can you just open this up a little more? Sir.,1
"Hey, the reason why i stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick",1
we can ask him to search the bag Ma'am.,1
"Look, where do you guys live at",1
Nobodys gonna go to jail I promise you that Now.,1
"But the rest is I have the right to remain silent., do you understand?",1
"I'm telling you, that's why i just like pulled over",1
What's going on whats the problem,1
Do me a favor just open these up real quick so I can see back there Now.,1
"The whole car reeks of weed, do you understand?",1
we go we're going to throw them in a car just so we don't have to stand out here in the open Sir.,1
okay do you mind stepping out for me real quick  Please.,1
Like Schizophrenia and PTSD. Please.,1
"Look, hey what's up man been through this once or twice huh?",1
"Look, hang tight in the vehicle man",1
we can ask him to search the bag Please.,1
you uh got the keys by chance we'll just put on top the car,1
appreciate you man I'm glad you're okay,1
Let me get that Sir.,1
"Look, hold on we got somebody you need to talk to",1
"do you guys have IDs on you , do you understand?",1
"Officer, that's why i just like pulled over",1
"Look, where you living at?",1
we got dispatched to shots fired going off right here,1
"Hey, whats your name.",1
"Officer, just lean back",1
"Hey, you know why why i hear gunshots all the time ",1
"Officer, whats your name.",1
"Do you have registration for the vehicle, do you understand?",1
"do you have an ID in New Mexico , do you understand?",1
"okay what was your reason for coming in here, do you understand?",1
you know take your bag off Please.,1
hey I found the gun all right Now.,1
"we go we're going to throw them in a car just so we don't have to stand out here in the open, do you understand?",1
Stillwater Police! Charlene?,1
"okay I'm going to run him through Fields, do you understand?",1
"Officer, where do you guys live at",1
that go okay probably going have to go to jail for it  Sir.,1
"Nothing. Can you come over here please?, do you understand?",1
"Ok, is that an ankle monitor? Sir.",1
"I'm telling you, where you living at?",1
we can ask him to search the bag Ma'am.,1
Do me a favor just pull up a little further Please.,1
all right well the address came out right here okay so we just have to make sure ,1
"Hey, you doing what now?",1
"Look, i just heard it was for a shooting",1
"I'm telling you, okay i'm going to run him through fields",1
"Look, you guys are good to go thank you",1
"I'm telling you,  i didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us",1
Ok. Do you have a doctor here? That you see? Please.,1
"Hey, we got dispatched to shots fired going off right here",1
What you doin Ma'am.,1
"Officer, hang tight in the vehicle man",1
"Look, you know why why i hear gunshots all the time ",1
"I'm telling you, can you just open this up a little more?",1
we can ask him to search the bag Please.,1
you know why why I hear gunshots all the time  Now.,1
"I'm telling you, all right well the address came out right here okay so we just have to make sure ",1
"was out of the driver's side though that shot came from the back of the car, do you understand?",1
"Look, you uh got the keys by chance we'll just put on top the car",1
The whole car reeks of weed Ma'am.,1
"Officer, is there any else inside",1
please go ahead and put keys on the hood,1
okay sit down Sir.,1
"Officer, hey hey get up get up get up get up go",1
"Hey, 10-4 making that call now",1
"no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned, do you understand?",1
"Look, we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there",1
Where's your ID? Sir.,1
"I'm telling you, durango going eastbound towards wyoming",1
"I'm telling you,  i didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us",1
"Hey, sit on the ground.",2
You're grabbing my balls sir,2
"I'll stand right here I'm fine., do you understand?",2
Did you just hear me? Look at me. Take off your seat belt. Now.,2
why you putting your hands on me Please.,2
"What do you, why do you need to know this stuff?",2
"I'm telling you, you're grabbing my balls sir",2
why you putting your hands on me Now.,2
why you putting your hands on me,2
"Hey, it's not ben day. i got your picture pulled up man.",2
"Am I under arrest or no?, do you understand?",2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me Please.,2
he's possibly 55 locked himself in,2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me Now.,2
"I'm telling you, get out of my face fat boy.",2
we have five detained right now,2
"I'm telling you to get out of the vehicle right now, do you understand?",2
well I'm going to do it regardless  Ma'am.,2
hands behind your back now stay here,2
Am I under arrest or no? Ma'am.,2
"Hey, are you requesting me.. or..",2
"Ok I'm willing to listen, come on lets talk.  Ma'am.",2
It's not Ben Day. I got your picture pulled up man. Please.,2
no separate your feet separate your feet,2
"Hey, go ahead you can ask thank you keep the window rolled down",2
"I'm telling you, did you just hear me? look at me. take off your seat belt.",2
Put your hands behind your back. Now.,2
"I'm telling you, ok i'm willing to listen, come on lets talk. ",2
I told you exactly what I was going to do okay Ma'am.,2
he's possibly 55 locked himself in Sir.,2
now you're just detained okay,2
hey Rudolph hey open the door Ma'am.,2
Do not touch me!,2
I'll stand right here I'm fine. Sir.,2
"Officer, don't move knuckles together",2
Am I under arrest or no? Ma'am.,2
"Look, are you requesting me.. or..",2
you are not supposed to touch me Ma'am.,2
"Officer, start us another one 1040",2
"I'm telling you, why you putting your hands on me",2
"I'm telling you, getting real evasive with his answers",2
don't have to touch me,2
"What do you, why do you need to know this stuff?",2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me,2
"I'm telling you, do not touch me.",2
you're being detained you're not free to leave Please.,2
"Look, am i under arrest or no?",2
"Hey, i'm telling you to take off your seatbelt and step out. why don't we do this. put your hands... alright. 
",2
Can you just come out so we can talk,2
"I'm telling you, you're being detained you're not free to leave",2
"I'm telling you, are you requesting me.. or..",2
"Officer, did you just hear me? look at me. take off your seat belt.",2
Get out of my face fat boy. Sir.,2
"Hey, you are not supposed to touch me",2
no separate your feet separate your feet Please.,2
"you are not supposed to touch me, do you understand?",2
you are not supposed to touch me Sir.,2
don't move Knuckles together Ma'am.,2
"Look, you're being detained you're not free to leave",2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me,2
"Look, well i'm going to do it regardless ",2
no separate your feet separate your feet,2
"I'm telling you, i'll stand right here i'm fine.",2
you're being detained you're not free to leave,2
you are not supposed to touch me Sir.,2
Do not touch me. Please.,2
"start us another one 1040, do you understand?",2
"Hey, well i'm going to do it regardless ",2
"Officer, i'll stand right here i'm fine.",2
"Look, don't have to touch me",2
"Officer, he always dodging around my questions",2
"Officer, are you requesting me.. or..",2
"you're being detained you're not free to leave, do you understand?",2
don't have to touch me Now.,2
"This, this is illegal, I'm not under arrest in Rockford. I'm just saying., do you understand?",2
"Look, i told you exactly what i was going to do okay",2
"Officer, uh yea, you're fine. you don't have any id on you? here why don't you do me a favor and take off your seatbelt and step out.",2
you're being detained you're not free to leave,2
"I'll stand right here I'm fine., do you understand?",2
"I'm telling you to take off your seatbelt and step out! Why don't we do this! Put your hands!!! alright! 
",2
why you putting your hands on me Sir.,2
"Officer, what do you, why do you need to know this stuff?",2
hey Rudolph hey open the door Please.,2
"Did you just hear me? Look at me. Take off your seat belt., do you understand?",2
"I'm telling you, you are not supposed to touch me",2
"Why man, I'm gonna comply bro, you just. Now.",2
"I'm telling you, ok i'm willing to listen, come on lets talk. ",2
start us another one 1040 Ma'am.,2
You're grabbing my balls sir,2
"I'm telling you, am i under arrest or no?",2
don't have to touch me Ma'am.,2
"Look, go ahead you can ask thank you keep the window rolled down",2
"I'm telling you, this, this is illegal, i'm not under arrest in rockford. i'm just saying.",2
"Can you just come out so we can talk, do you understand?",2
he's possibly 55 locked himself in Ma'am.,2
well I'm going to do it regardless  Ma'am.,2
"Look, what do you, why do you need to know this stuff?",2
Put your hands behind your back. Please.,2
"I'm telling you, i'm telling you to get out of the vehicle right now",2
Get out of my face fat boy. Now.,2
he always dodging around my questions Now.,2
he always dodging around my questions Ma'am.,2
don't move Knuckles together Please.,2
hey Rudolph hey open the door Sir.,2
he always dodging around my questions Please.,2
You got that arm. Ma'am.,2
"I'm telling you, go ahead you can ask thank you keep the window rolled down",2
"Ok I'm willing to listen, come on lets talk.  Now.",2
"we have five detained right now, do you understand?",2
"Officer, i told you exactly what i was going to do okay",2
"What do you, why do you need to know this stuff? Ma'am.",2
go ahead you can ask thank you keep the window rolled down Now.,2
I'll stand right here I'm fine!,2
It's not Ben Day. I got your picture pulled up man. Now.,2
"I'm telling you to take off your seatbelt and step out. Why don't we do this. Put your hands... alright. 
 Now.",2
I told you exactly what I was going to do okay Ma'am.,2
start us another one 1040,2
"Officer, don't have to touch me",2
"Hey, do not touch me.",2
why you putting your hands on me,2
no separate your feet separate your feet Sir.,2
Are you requesting me.. or.. Sir.,2
he always dodging around my questions,2
"Officer, now you're just detained okay",2
"Look, don't move knuckles together",2
"This, this is illegal, I'm not under arrest in Rockford. I'm just saying., do you understand?",2
"Did you just hear me? Look at me. Take off your seat belt., do you understand?",2
start us another one 1040,2
we have five detained right now Sir.,2
You got that arm. Now.,2
"I'm telling you, start us another one 1040",2
no separate your feet separate your feet Now.,2
now you're just detained okay Ma'am.,2
you're being detained you're not free to leave Ma'am.,2
you're being detained you're not free to leave Sir.,2
You got that arm. Now.,2
no separate your feet separate your feet,2
"Look, can you just come out so we can talk",2
"What do you, why do you need to know this stuff? Please.",2
"Do not touch me., do you understand?",2
Sit on the ground. Ma'am.,2
go ahead you can ask thank you keep the window rolled down,2
"Officer, ok i'm willing to listen, come on lets talk. ",2
"Officer, we have five detained right now",2
don't have to touch me Now.,2
you are not supposed to touch me,2
"Officer, you're grabbing my balls sir",2
he always dodging around my questions,2
"Look, it's not ben day. i got your picture pulled up man.",2
you are not supposed to touch me Ma'am.,2
"you're being detained you're not free to leave, do you understand?",2
Do not touch me!,2
"I'm telling you to take off your seatbelt and step out. Why don't we do this. Put your hands... alright. 
 Ma'am.",2
"You're grabbing my balls sir, do you understand?",2
we have five detained right now Now.,2
"Hey, can you just come out so we can talk",2
now you're just detained okay Sir.,2
Get out of my face fat boy. Please.,2
now you're just detained okay Sir.,2
why you putting your hands on me Now.,2
"Uh yea, you're fine. You don't have any ID on you? Here why don't you do me a favor and take off your seatbelt and step out. Sir.",2
"Uh yea, you're fine. You don't have any ID on you? Here why don't you do me a favor and take off your seatbelt and step out. Sir.",2
"Uh yea, you're fine. You don't have any ID on you? Here why don't you do me a favor and take off your seatbelt and step out. Please.",2
he's possibly 55 locked himself in Ma'am.,2
Are you requesting me!! or!!,2
"You got that arm., do you understand?",2
"What do you, why do you need to know this stuff?, do you understand?",2
you're being detained you're not free to leave Sir.,2
start us another one 1040 Ma'am.,2
"Ok I'm willing to listen, come on lets talk. , do you understand?",2
"I'm telling you, why you putting your hands on me",2
now you're just detained okay,2
"I'm telling you, you're grabbing my balls sir",2
"Hey, i'm telling you to take off your seatbelt and step out. why don't we do this. put your hands... alright. 
",2
"Hey, getting real evasive with his answers",2
"I'm telling you, do not touch me.",2
you're being detained you're not free to leave Sir.,2
"Why man, I'm gonna comply bro, you just. Ma'am.",2
start us another one 1040 Now.,2
You're grabbing my balls sir Now.,2
"don't move Knuckles together, do you understand?",2
go ahead you can ask thank you keep the window rolled down Ma'am.,2
he always dodging around my questions,2
"Ok I'm willing to listen, come on lets talk. , do you understand?",2
"I'm telling you, don't move knuckles together",2
Do not touch me. Please.,2
"Hey, don't have to touch me",2
"Look, why man, i'm gonna comply bro, you just.",2
I'll stand right here I'm fine!,2
Put your hands behind your back. Now.,2
"Why man, I'm gonna comply bro, you just!",2
"Get out of my face fat boy., do you understand?",2
It's not Ben Day. I got your picture pulled up man. Ma'am.,2
"I'm telling you, did you just hear me? look at me. take off your seat belt.",2
"Look, you got that arm.",2
he always dodging around my questions Sir.,2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me Ma'am.,2
"Hey, what do you, why do you need to know this stuff?",2
I'm telling you to get out of the vehicle right now Sir.,2
"Officer, he's possibly 55 locked himself in",2
"Officer, no separate your feet separate your feet",2
start us another one 1040 Now.,2
"I'm telling you, getting real evasive with his answers",2
Can you just come out so we can talk,2
Put your hands behind your back. Ma'am.,2
you are not supposed to touch me,2
"Why man, I'm gonna comply bro, you just. Now.",2
"Look, start us another one 1040",2
don't have to touch me Sir.,2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me Now.,2
now you're just detained okay Sir.,2
don't move Knuckles together Sir.,2
"Officer, getting real evasive with his answers",2
"he's possibly 55 locked himself in, do you understand?",2
now you're just detained okay Sir.,2
"Officer, what do you, why do you need to know this stuff?",2
"I'm telling you, he's possibly 55 locked himself in",2
You're grabbing my balls sir Sir.,2
"Why man, I'm gonna comply bro, you just. Now.",2
"hands behind your back now stay here, do you understand?",2
That is not me. How are you gonna tell me who I am. Ma'am.,2
"Hey, i'm telling you to get out of the vehicle right now",2
Sit on the ground. Sir.,2
That is not me. How are you gonna tell me who I am. Now.,2
It's not Ben Day. I got your picture pulled up man. Now.,2
I'm telling you to get out of the vehicle right now Please.,2
don't have to touch me Please.,2
well I'm going to do it regardless  Ma'am.,2
start us another one 1040 Now.,2
"I'm telling you, it's not ben day. i got your picture pulled up man.",2
Are you requesting me.. or.. Please.,2
"Did you just hear me? Look at me. Take off your seat belt., do you understand?",2
"Look, getting real evasive with his answers",2
"Hey, start us another one 1040",2
"Hey, uh yea, you're fine. you don't have any id on you? here why don't you do me a favor and take off your seatbelt and step out.",2
"Why man, I'm gonna comply bro, you just., do you understand?",2
"Hey, we have five detained right now",2
Can you just come out so we can talk Please.,2
"Look, why man, i'm gonna comply bro, you just.",2
I'm telling you to get out of the vehicle right now Ma'am.,2
"no separate your feet separate your feet, do you understand?",2
"What do you, why do you need to know this stuff? Sir.",2
"Officer, get out of my face fat boy.",2
he's possibly 55 locked himself in Sir.,2
"you are not supposed to touch me, do you understand?",2
"I'm telling you to take off your seatbelt and step out. Why don't we do this. Put your hands... alright. 
 Sir.",2
Put your hands behind your back. Ma'am.,2
"Hey, getting real evasive with his answers",2
"I'm telling you, i'm telling you to take off your seatbelt and step out. why don't we do this. put your hands... alright. 
",2
"Officer, you're being detained you're not free to leave",2
Get out of my face fat boy. Please.,2
"I'm telling you, now you're just detained okay",2
"Look, he's possibly 55 locked himself in",2
"Look, you are not supposed to touch me",2
start us another one 1040,2
"I'm telling you to take off your seatbelt and step out! Why don't we do this! Put your hands!!! alright! 
",2
Did you just hear me? Look at me. Take off your seat belt. Now.,2
"Officer, what do you, why do you need to know this stuff?",2
"Hey, why man, i'm gonna comply bro, you just.",2
"Hey, we have five detained right now",2
"I'm telling you, are you requesting me.. or..",2
You're grabbing my balls sir Please.,2
now you're just detained okay Please.,2
"Hey, are you requesting me.. or..",2
you are not supposed to touch me,2
"Hey, i'll stand right here i'm fine.",2
"Hey, you got that arm.",2
"Officer, that is not me. how are you gonna tell me who i am.",2
"Hey, i told you exactly what i was going to do okay",2
"Hey, put your hands behind your back.",2
"Officer, i'm telling you to take off your seatbelt and step out. why don't we do this. put your hands... alright. 
",2
don't have to touch me Ma'am.,2
"Hey, you got that arm.",2
"Officer, why you putting your hands on me",2
"Look, i told you exactly what i was going to do okay",2
"Officer, why man, i'm gonna comply bro, you just.",2
"Look, put your hands behind your back.",2
"Hey, sit on the ground.",2
"Officer, why man, i'm gonna comply bro, you just.",2
"I'm telling you, are you requesting me.. or..",2
I'll stand right here I'm fine. Please.,2
"Hey, why you putting your hands on me",2
