speech_turn,use_of_force_level
Suspicious? Youre profiling me. This is unacceptable.,3
Step out of the car. We need to confirm youre clean.,3
Im not stepping out for anything. This is harassment.,4
Exit the vehicle immediately or well have to forcibly remove you.,4
"Try it, and youll see how quickly things get messy!",5
"Hi, Im Officer Barnes. Your muffler seems to be hanging low. Might want to get that checked out.",1
Really? Had no idea. Thanks for pointing that out.,1
Just looking out. Might save you trouble down the road.,1
"Definitely, Ill get it fixed today. Appreciate your help.",1
Youre welcome. Drive safely.,1
Thanks again. Have a great shift!,1
"Evening, Officer Patel. You ran a red light two blocks back. License and registration, please.",1
Ran a red light? Thats ridiculous. It was clearly yellow.,2
Im certain it was red. Please wait while I verify your documents.,2
"Sure, waste my time over nonsense. You cops are unbelievable.",3
Keep your voice down and remain respectful. Well finish shortly.,3
Respectful? Youre the one disrespecting me.,3
"Hello, Officer Newman here. Everything okay? Noticed your hood is up.",1
My battery died. Waiting on roadside assistance.,1
"Alright, need any help in the meantime?",1
"Im good, thanks for stopping to check.",1
No worries. Stay safe out here.,1
"Officer Young here, weve received multiple complaints about loud noises from your car tonight.",1
Thats ridiculous. People just cant mind their own business anymore.,2
Step out so we can discuss this calmly.,3
Im not stepping out for you or anyone else.,4
"Exit the vehicle now, or Ill remove you myself.",4
"Officer Foster here, noticed your insurance might be expired. Could you hand me your documents?",1
"Oh, sorry officer. I renewed it yesterday, must not be updated yet.",1
"Alright, just doublecheck with your provider when you can. Drive safely.",1
"Will do, appreciate the headsup.",1
Officer Holt here. We got reports of suspicious activity. Mind if we search your vehicle?,1
No way. Got no reason to allow that.,2
"Dispatch, driver refusing search, send backup.",3
Youre escalating this unnecessarily. Typical cops.,3
Hands where I can see them! Dont reach under the seat!,4
Come closer and youll see what Ive got!,5
You're choking me,3
Did you see what happened?,1
Come over here,1
I've been shot,5
Drop the gun,5
Put the gun down,5
Can you cut me a break,1
Where are you going today?,1
Where are you coming from?,1
Can you step out of the vehicle?,1
Why are you being so agressive?,2
You need to relax,2
Step out of the vehicle for me,1
Drop the knife,5
Do you have your insurance on you?,1
This vehicle is showing as unregistered,1
This vehicle is coming back as stolen,2
You are not free to leave,2
You're being placed under arrest,2
Go ahead and put your hands behind your back,2
Stop resisting,3
Send backup,3
I will taze you,4
I will tase you,4
taser taser taser,4
tazer tazer tazer,4
Get off of me bro,2
Stop hitting me,3
He spit on me,3
If you spit it will not be good for you,3
How can I help you officer,1
What's your name and badge number,1
Do you still live on smith street,1
"You don't need my license, I haven't done anything",2
Don't pull away from me,3
Quit tensing up,3
Take him to the ground,3
I need you to listen to me,2
You're not listening to what I'm saying,2
Just hold on a second,2
A lot of movement right now,2
Why are you moving so much,2
Hey man step on out,1
It's my friends car,1
You said a friends car,1
theres a couple reasons Im stopping you,1
You made a wide turn,1
You ok,1
Is there anything in the car I need to know about man,1
No weapons or anything on you?,1
No knives or anything like that?,1
Just relax alright,1
You got any ID on you,1
No I don't,1
Are you serious right now? Why did you do that right in front of me,2
Spread your feet,2
Any weapons guns or anything on you,1
Its right here,1
Ridiculous,1
It was in his hands when I saw it,0
Yea search him real quick,2
You were reaching everywhere,2
I'm going to take you out of the car,1
I don't know why he was going all crazy man,1
Step on out real quick,1
Drop that lighter in your left hand,1
He tried to drop a crack pipe,1
relax relax relax you ok?,2
there was stuff that was found on him,1
Is there anything on you or inside the car,1
I said don't go in your pockets,2
"Dont touch it, put your stuff right here",2
Its in your crotch?,2
You got a pipe in your crotch,2
We're not going to play this game right now,2
If you try to dump something else we're gonna have problems,2
You're digging around and moving,2
We detained you because you're freaking out,2
They better let me go,2
She's clenching herself,3
So you're gonna go to the jail,2
Someone is gonna have to ride with her,3
Act like an adult,2
Stop acting like a child,2
Im gonna have the jail strip search her then,2
The more you clench and do all this,3
Whats going on,1
Are you just wanting a report,1
I want her arrested,1
I was on the phone with 911,1
Hows your day officer,1
trying to get out of here huh,1
You're under arrest for shop lifting,2
Its not up for discussion I'll tell you that,2
You are going to jail today,2
how can they press charges on me when I don't have anything,2
I'll be in foot pursuit going west across the parking lot,3
stop the car,3
He's fleeing in a vehicle,3
You're not gonna give me your name?,2
Hes attempting to flee rammed my car,3
He hit my cruiser,3
Get me another unit,3
He's attempting to flee,3
I'm gonna attempt a pit,3
Shots fired Im down,5
"Im hit, bleeding",5
subjects fleeing,3
we're gonna need med evac,5
You're hit in the neck,5
Its bleeding a lot,5
can I get another squad to my location,3
You don't got any weapons on you,1
No you're not gonna get shot,1
You're making me nervous,2
You're gonna get Tased,4
You're gonna get tazed,4
I got a taser right here,4
I got a tazer right here,4
get another squad here now,3
you will get shot,5
Don't be flexing up,3
Chill take a deep breath,2
